,content
4186,"Halo...selamat malam !!! Saya jeni monika panjaitan memberikan bintang 5 ,karna sangat seneng bisa belajar diruang guru.Berkat aplikasi ruang guru saya smakin rajin dan bersemangat dalam mengerjakan materi pembelajaran yg ada didalamnya termasuk yg berbaur dng pelajaran jurusan anak IPA,smoga nantinya saya bisa berlangganan dan di tahun depan saya bisa lolos utbk utk menduduki bangku perguruan tinggi negeri(ptn).Ruang guru yes...yes...yes,spirit💪💪😊😊"
4187,Waw aplikasi ini sangat membantu aku suka dengan aplikasi ruang guru ini aplikasi ini membatu saya dan syaa sudah lebih paham atas pelajaran yang sulit ini terimaka kasih ruang guru😊
4188,"Halo aku Anisa,aku senang kali setiap pakai ruangguru karena materi nya jelas dan sesuai dengan kurikulum sekolah,kakak tutor dan master teacher ruangguru pun memberikan materi dengan jelas,belum lagi kuis yang diberikan pada akhir video,dan fitur lainnya yang emang mendukung fasilitas belajar di ruangguru,selama belajar di ruangguru,aku bisa melihat perubahan,lebih semangat belajar,nilai aku pun di sekolah meningkat, pokoknya aku puas kali belajar di ruangguru,terus bantu kami ruangguru🤗"
4189,"Wahh bagus banget , trus banyak banget yang gratis , ya alloh semoga aku bisa dapet pulsa ya allohhh , aku mohon pertolonganmu ya alloh supaya dapet pulsa dari ruanggguru ya alloh"
4190,"Haloo saya arcikacovanka mau bilang,klw aplikasi ruang guru ini sgt membantu,apa lg klw pas menerangkan,penuh animasi pokoknya zerrrruuuu banget 🤗🤗🤗🤗🤗"
4191,"Hallo nama aku ila aku menggunakan ruang guru sejak tahun 2020 , tapi sayang penyimpanan ku hampir habis. Jadi terpaksa aku Harus uninstall aku nyesel unistal tapi tolong dong mb nya di kecilin ☺☺"
4192,Aplikasi ini sudah banyak yang menggunakan apa lagi jaringan ini kebanyakan yang menggunakan kalangan pelajar.
4193,"Bagus bangett,sangat paham akan materi²nya,dan dpt menjawab soal sekolah dgn hasil yg bagus,terima kasih ruangguru!😊tapi saya tdk menemukan pelajaran pkn:tentang ppki,kemerdekaan dll,semoga ada mata pelajaran tersebut,dan juga saya agama kristen berharap ada mata pelajaran agama kristen juga,terima kasih😊sukse terus ruangguru!"
4194,Ya allah gak rugi deh langganan ruang guru saya aja baru langganan dan nilai nilai ku naik drastis ayo langganan ruang guru
4195,"Beĺajar diruang guru sgt praktis dan menyenangkan,mudah dimengerti dan menambah ilmu dan membuat kita jadi juara,pokoknya yg terbaik adalah ruang guru.👍🏻"
4196,Aplikasi nya keren banget..... Pas untuk yang lagi belajar daring👍👍 Semoga aplikasi makin bagus Yang belom download segera download ya..... Gak akan rugi kok hehe......
4197,Om kok ini nge bug sih.. Padahal kan ane cuma download 1600 an video. Langsung gabisa dibuka.. Tolong dong bantuannya. Terima kasih
4198,Ruang Guru sangat bagus bagi anak-anak Indonesia selalu memakai aplikasi di ruangguru ini. Ingat semuanya kita selalu belajar di rumah bersama ruang guru. Terima kasih ruangguru
4199,Ruang guru ini buat nilai aku jadi makin tinggi...ya walaupun sedikit sih tapi ruang guru ini bantu aku banget!!!!!!!makasih ruang guru
4200,Hai semua nama saya wawan aplikasi ini bagus banget pembelajaran nya beranimasi terus ada mata pelajaran yang banyak bisa mengaji pula teri makasih ruang guru saya doakan Ruangguru sukses terus
4201,Ini bagus sih kalau kamu yang belum cobain ruang guru ayo donlod tapi ada satu kekurangan saya kesusahan dalam pendidikan agama Islam saya minta kedepannya bisa menyediakam pendidikan agama yang bahasa Arab terimakasih
4202,Bagus banget aplikasinya😍 apalagi disaat pandemi seperti ini sangat ngebantu banget😊yang belum download yuk buruan download sekarang juga!!!
4203,Assalamualaikum perkenalkan saya kgs m ali fathan saya sangat berterimakasih banget sama apk ini saya sebelum berlangganan saya rengking 29 dan sesudah berlangganan rengking saya naik menjadi rengking 9 thak's you ruang guru... Tp sayangnya masih kurang puas dengan hadiahnya kalu bisa hadiahnya kuota belajar aja saya anggap itu sangat membantuh kami menunjang belajar jarang jauh dari rumah thak's you
4204,"Aku suka banget sama Ruang guru ini, Apa lagi sama Robo guru nya, ketika ada soal matematika yg susah bisa saya tanya dengan Robo guru, makasih Yah!"
4205,Aplikasi ruang guru sangat membantu pelajar untuk belajar setiap saat dan memberikan pemikiran positif bagi pelajar
4206,"Bismillah,aku suka banget sama aplikasi yang ini,sangat recomended lah, seru banget karena pake animaai ,guru nya worth it semua donggg! Materi nya lengkap,ada latihan soal, ada rapor belajar pulaa. Terus yang paling bikin aku seneng tuh yaa... Biaya nya cukup murah sii daripada harus bimbel diluar hehe. Btw aku udah gabung 2 tahun disini. Terimakasihh Ruang Guru ku."
4207,bagus. pas aku mau ujian aku baca nih di ruang guru eh semua soalnya ternyata keluar sama soalnya kek yang ada di ruang guru dan aku dapet juara tiga terima kasih ruang guru🙏🙏
4208,Aplikasi nya bagus banget kalian download ya karena aplikasi ini sangat bisa membantu teman teman semua untuk belajar agar menjadi pintar. Kalian download ya kalo gak download pasti nyesel
4209,"Saya anak smp kls 3 yg ada di propinsi NTT saya ngga pintar ,saya pengen banget dpt nilai yg bagus agar urang tua saya bangga saya berharap dgn belajar di ruang guru saya bisa jadi pintar"
4210,Ruang guru ini cocok untuk bisa belajar saat ujian pas dll semoga ruang guru ini banyak yang donlowd niali aku tuh dari enam puluh lima terus aku jadi 100 bayangin cobak kalau ruang guru itu sangat hebat .. 😊😊😊
4211,Membantu banget ruang guru dalam belajar makasih ya ruang guru aku sekarang jadi rangking 2
4212,"Membantu banget buat belajar selama setahun kemarin, temen saya yg lain pada les tp karena saya males (jam belajar nambah), jadi iseng daftar ruang guru biar bisa belajar semaunya, sesuai mood aja gt Mungkin karena emang pas kls 12 kmrn lagi tobat tobatnya kali ya, peringkatnya jadi naik banget, dari belasan jadi peringkat 2 (smt 5) dan peringkat 1 (smt 6) Nilai rata rata saya jadi naik dan Alhamdulillah keterima snm, terimakasih banyak guru guru semua, terutama guru mtk & kimia kelas 10, 11, 12"
4213,"Recommended banget!!!!! Waktu kelas 9 sem 1 aku dpet peringkat 9. Pas kelas 9 sem 2 baru pakai ruangguru ini. Dan pas UN aku dapet peringkat ke 3 di sekolah. Allhamdulillah, pas pengumuman peringkat, mama aku bangga banget sama aku. Setidaknya aku bisa banggain mama aku walaupun telat banget tau ruangguru. Huhu thank you so much kaka!!!! Aku bakalan ambil lagi buat sma. Biar bisa ikut olimpiadeee!! Hehe dan banggain mama. :')"
4214,Hallo nama saya cyailla zabilla saya senang sekali makai ruang guru semenjak saya pakai ini saya sangat mudah mempelajari nya
4215,"Tadinya aku sih belajarnya daring tapi pelajarannya ga masuk otak,terus ibu aku saranin download ruang guru nah setelah aku belajar di ruang guru itu yang tadinya nilaiku jelek sekarang bagus maxsimal,aku juga suka sama ruang guru karena belajarnya kaya main game ada hiburannya oh ya mksh ya ruang guru dah bantu aku belajar....."
4216,"hay kak ;), nama saya abdul aziz ,kelas 10 smk, apk ini memang sangat berguna khususnya untuk para alergi baca buku, hehe😆😆 termasuk saya,sejujurnya saya juga kurang suka baca buku atau bisa di istilahkan ""ALERGI BACA BUKU"" haha😆😆😆, tpi setelah saya download apk ruang guru, saya jdi suka baca pelajaran yg ada di apk ini, apk ini sangat membantu untuk anak² generasi penerus, yg saya kecewa kan gk ada pelajaran tentang agamanya,tpi gpp lah... semoga ruang guru semakin sukses selalu..."
4217,"Halo guys ini apikasinya bagus dan bisa belajar sampai pintar loh kalo kalian gak belajar nanti kalian gak lulus sekolah loh, ayo download apikasi ruang guru yuk, ini aja ulasan aku ya😊 bye bye👋"
4218,"Halo, saya Fasha Rahmanita. Pengguna ruang guru SMP kelas 8. Sejak pakai ruang guru, nilai matematika sayq naik drastis! Tadinya 67-80, dan sekarang 90-97!! Selain itu, saya yang biasanya terkecoh kalau kerjakan soal pilihan ganda, sekarang nggak lagi dong! Dengan bnyak latihan soal sama tryout, saya bisa lancar kerjakan ulangan pilihan ganda!! Terima kasih ruangguru!"
4219,"Wah ruangguru memang nomor 1 semua mata pelajaran itu ada , dan soalnya menarik banget video ya juga berdurasi panjang , ayo buruan download ruangguru kamu pasti bisa menjadi juara 👍👍"
4220,"Aku suka aku lulusan SMP tapi bisa belajar mata pelajaran SMA di ruang guru ini, akhir nya saya ikut sekolah paket C dan lulus dengan mudah sebab ada ruangguru pelajaran mudah di mengerti"
4221,"Sukaaaaaaa sukaaaa bgtttttt. Sebelum aku UAS aku langganan ini. Dan hasilnya aku dpt 80,90,100 nilainya!! . Thx bgt buat ruang guru. Tp aku gabisa manggil guru private krn hrs beli paketnya. Aku kira udh sepaket klo langganan ruang guru. Tp gpp lah yg penting nilai bagus. Doakan ya supaya aku ranking 1. oh iya bagi yg mau beli paket belajar ruangguru jangan lupa pake kode referral ku yah, yg ini: KANIAR5Q8VA6MFQ9 dapetin diskon hingga 40%!!! dengan pake kode diatas. !!! :))"
4222,Hai perkenalkan namaku Shofi aku suka sekali dengan apk ini aku udh download apk ini di hp ku yg satu lagi >w< walaupun
4223,Apk ini sangat membantu Aku belajar karena fitur-fitur didalamnya sangat menarik .dan berkat belajar di ruang guru nilai saya disekolah semakin tambah bagus terimakasih RUANG GURU.......👍👍👍
4224,Aplaksi nya hiking says pitar!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ¡!!!!!!! !!!!!! !!!!!!!!!!!!!! Kasik bintang 5
4225,Bagusa bangett aku dulu malas belajar tapi setela aku download aplikasi ruang guru Aku lebih semagat belajar dan ngak ketinggalan pelajaran trima kasi ruang Guru selau ada selau bisa
4226,"Wahhh!! Dengan adanya aplikasi RG ini sangat membantu saya loh!! Yang awalnya ngggk ngerti sama pelajaran yang diajarkan di sekolah, sekarang udah ada RG yang dapat memberikan penjelasan lebih mudah untuk dimengerti dan asik untuk didengar/dilihat. Bagi yang belum ikutan, Yukkkk gabung, dijamin gak bakalan nyesel deh☺️ terimakasih ruang guru🙏"
4227,"Hai .... wah ruang guru ini sangat bermanfaat bagi kita semua ,kalian tau gak dulu saya juara 2 sekarang saya dapat juara 1 ,terima kasih ruang guru"
4228,"Apk nya bagus banget, aku suka banget Ruang Guru membantu aku dalam belajar yg susah pelajaraan nya. Ruang Guru Is The Best For Me Thank You Rang Guru"
4229,"Wah Aplikasi ini sangat membantu para pelajar SD, SMP, DAN SMA diseluruh indonesia. Aku suka banget dengan aplikasi ini 👍👍👍 Semangat terus RUANG GURU."
4230,"Wahhh aplikasinya emang bener bikin semangat untuk belajar karena gak bikin BOSEN apalagi NGANTUK hihi. Banyak banget fitur fitur atau layanan yg sangat membantu. Aku jadi ga males belajar lagi!!!! Terimakasih ruang guru. Untuk yg mau langganan jangan lupa pakai kode INGETACQKY karna kalian bakal dapet diskon 40% loh, wow banget kan!!!!."
4231,"Aku udah pake ruangguru dari kelas 8 SMP, hasilnya lumayan. Dan sekarang aku udah naik SMA, yang mana pasti pelajarannya lebih sulit apalagi di kondisi seperti ini. Semoga aja, dengan aku langganan kembali di ruangguru, semangat belajarku tetap sama seperti dulu atau akan lebih bagus lagi jika lebih meningkat, terima kasih ruangguru."
4232,Hai aplikasi ini bagus banget mudah di salin di otak mudah di pahami pokoknya bagus bnget
4233,Menurut saya aplikasi ini sangat bagus untuk belajar. Karena pada aplikasi ini terdapat berbagai video pembelajaran animasi yang menarik dan membuat kita bisa lebih paham mengenai materi yang disampaikan. Dan juga terdapat kuis yang melatih kemampuan kita dalam memahami pelajaran yang dijelaskan. Pokoknya aplikasi ini sangat membantu pembelajaran kita. Sekian terimakasih ~~~Ingda Julianti~~~
4234,"Aplikasi ini sangat bagus dan ada fitur berupa animasi, tapi sayang nya ruang guru di bayar, saya harap ruang guru ada fitur gratisnya agar anak anak lebih rajin lagi belajar nya👍👍"
4235,"ruang guru bagus banget, aku bisa kenal sama orang lain sekaligus bertanya tentang pelajaran yang diminati"
4236,"Siapa Yg Suka Main Handhphone?!Pasti Karna Main HandhPhone Jadi Lupa Untuk Belajar Jadi,Aplikasi Ini Berguna Banget Lho!Kita Bisa Belajar Sambil Bermain Oh Ya!Saya Juga Penngen Pelajaran Agama Seperti Islam,Kristen,Katholik Dll..Di Tambahin Pelajarannya Ya!!!Terima Kasih Semoga Di Balas Sama RuanngguroOFC Ya....!!!"
4237,Wah ini aplikasinya bagus aku jadi bisa buat mama bangga dan aku jadi bisa kuliah walaupun biyaya kuliahnya mahal tapi aku dapat biyaya siswa bagiyang belum downlod ayo downlod sekarang. terimakasih 🥳🥳🥳🥳👍👍👍🙏🙏🙏
4238,Namaku shofi makasih banget ruang guru materinya jadi mudah dipahami Jadi makin kebantu sama aplikasi ruang guru aplikasi ruang guru ini bagus banget terima kasih banget ruang guru sekali lagi terima kasih
4239,Wah ada ruang guru bisa belajar jadi pintar semuanya download ruang guru sekarang juga kalau kalian enggak download bisa rugi loh makanya kalian harus download ruang guru sampai jumpa bye semua selamat malam guys
4240,"Ruangguru membantu saya dalam belajar. Berlangganan Ruangguru itu sangatt menyenangkan, memudahkan sekali belajar tanpa perlu pulang pergi ke tempat bimbel. Belajar di ruangbelajar itu bermanfaat bgt, ketika besoknya ada pelajarannya dan malemnya itu kita udah nonton video pembelajarannya pasti bisa kalo guru ngasih pertanyaan, dan itu akan menambah nilai untuk kita. Disaat ada pelajaran disekolah yang ga dimengerti, gampang banget di ruangguru kan ada ruanglesonline, tinggal beli koin langsung deh bisa konsul sama tutor-tutor yang akan bikin kita ngerti. Dikelas aku awalnya cuma aku aja yang berlangganan, tapi sekarang banyaakkk banget yang ikut berlangganan. Mantapkan? Ayo berlangganan! Tunggu apalagi! Buat kamu yang mau berlangganan, pake kode diskon UMMIOZDYRF yaaa supaya kamu dapet diskon😊"
4241,"Dulu aku ga suka ipa terus nilai ku jeblok semua, dan akhirnya pas langganan sama ruangguru ipa aku selalu 95 keatas, thankyou ruang guru. Seneng banget love you ❤️"
4242,Hai aku Kirana! Aku sudh lumaya lama pake ruang guru..karena apa karena aplikasi Ruangguru ini sangat membantu aku..karena ruangguru aku jdi juara kelas ❤ pokokny aku suka sama ruangguru
4243,"Halo ruanguru saya kirana, ruanguru ada banyak pelajaran yg bisa masuk ke otak saya sampe saya rengking 1 trmksh ruanguru"
4244,"Kk...nilai ulangan ku dulu adalah 20, 25, 40, dan 50, tapi pas gw liat iklan ruang guru langsung gw download... jadi nilai ku makin nambah jadi 85, 90, bahkan 100... Aku jadi peringkat 2 di kls kk... Makasih buat Team RUANG GURU.... I LOVE YOU📚...♥️"
4245,"Assalamualaikum halo perkenalkan aku marshafa kelas 4, saya suka banget sama aplikasi ruang guru semenjak saya pakai aplikasi ruang guru nilai ku bertambah terimakasih ruang guru"
4246,Saya baru menyelesaikan kelas saya di skil academy. Pelatihanya mudah di pahami dan sangat bermanfaat.
4247,Makasih ya ruang guru karna kamu aku jadi lebih pintar😍dan aku seneng banget karna bisa berkenalan dengan orang lain dan berkomunikasi secara positif😄 mengobrol sampai mengadakan permainan seru🤗materinya nggak kalah abis😆walau sering dapat nilai kecil kalau nyelesain materi diruang guru😅 pokoknya best banget terimakasih ruang guru😍🙋
4248,"Aplikasinya jelek,, ,,,,,,,,,,,,,,,,,,,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!? Tapi boong hayyuk"
4249,Kan adek aku ngak bisa ngerti kalok di ajarin kan aku liat di TV ada aplikasi ruang Guru kan aku download buat adikku iya nonton video di ruang Guru dia jadi bisa aku kasih bintang⭐⭐⭐⭐⭐ lima bintang makasih ruang Guru
4250,"Haii,aku fira! Awalnya aku msh malas²an buat membaca buku & belajar,tapi Semenjak aku memakai Aplikasi Ruangguru ini, saya menjadi semangat bljr,karna saya dpt bisa belajar menggunakan Handphone saya sendiri tanpa ada yg menggangu dlm konsentrasi belajar saya. Thanks bgt buat yg udh buat Apk ini✨ Pokoknya Apk ini sgt berguna bagi saya,d sini jg byk video pembelajaran yg menarik dan lainnya!! Pokoknya buat kalian yg belum download Apk ini,Ayo buruan download sekarang!!🤗"
4251,"awalnya mau coba ² aja makanya ambil 1 semester dulu, eh!.. taunya pas baru nonton 1 video (pelajaran kimia)ternyata seruuu,dan Alhamdulillah kali ini aku cepat paham,karena penjelasan nya ga ribet,ga sabar mau belajar mapel ² yg lain, terimakasih ruang guru ❤, (nyesel cuma ambil 1 semester 😂)"
4252,"Hai aku Ary, aku berlangganan Ruangguru waktu SMP kelas 9, nilai-nilai ku naik, aku juga lebih cepat paham dengan pelajaran yang diajarkan bahkan sebelum aku diajarkan di sekolah. Penjelasannya singkat dan lebih mudah dipahami, ada banyak soal yang bisa dipakai buat latihan. Aku juga lulus dengan nilai yang memuaskan, bahkan rangking 1 paralel, aku bakal langganan lagi, terimakasih Ruangguru sudah membantu aku dalam belajar😉👍🏻"
4253,"Dari dulu, aku selalu males belajar. Semenjak ada Ruangguru, aku jadi semangat terus buat belajar karna, belajar rasanya kayak lagi main HP. Kita bisa ulang-ulang terus vidionya sampe ngerti. Ada juga Ruangguru Adventure, gara gara itu, aku semangat nonton vidio dan kerjain soal supaya dapet XP dan gold banyak. Kita juga bisa belajar bareng sama temen temen seangkatan. Pokoknya mantap, deh!"
4254,"Nilai aku bertambah bagus dan aku sangat senang bisa berlangganan ruang guru , terima kasih ruang guru semoga semakin sukses dan menjadi aplikasi belajar no 1 sedunia , aamiinn🙏☺️"
4255,"Hai🙋 nama sy Alna sy kelas 5,sy mau memberitahukan bahwa aplikasi Ruangguru itu sangat sangat bagus😻 karena Ruangguru adalah aplikasi belajar yg sangat bagus diantara aplikasi belajar yg lain dan aplikasinya sangat baik😊 dan aku sangat suka sekali sm Ruangguru klo aku lg ada waktu luang aku selalu buka aplikasi Ruangguru😄dan aku mau ngucapin Makasih banget untuk Ruangguru🙏karena udh menjadi aplikasi belajar pling bagus dan pling baik dan aku jadi juara di Sekolah ku😊Thank You Ruangguru💙"
4256,"saya senang bisa bergabung belajar dengan ,Ruangguru karena selain kita belajar materi pokok （matematika, ipa/ips, b.indonesia, b.inggris）saya juga bisa belajar ilmu pengetahuan lain tentang bagaimana cara mengenal diri dan juga cara menghargai orang lain. selain itu, saya juga bebas belajar tanpa dibatasi ruang dan waktu, sambil rebahan, sambil chill out, hahaha pokoknya seru deh！"
4257,"Banguss banget,semenjak ada ruang guru aq jadi rajin belajar dan slalu mendapat nilai yg memuaskan..."
4258,"Hai nama saya Maritza, aplikasi Ruangguru ini membantu belajar 😁. Bisa membuat avatar, ada petnya dan ada ruangcerita 😆. Pokoknya bagus banget deh 👍"
4259,Hai ruang guru nama saya adenia ruang guru ini sangat membantu banget dan bergunaa setiap saya ada tugas saya minta bantuan ruang guru ternyata hawaban saya benar dan dapat seratus terusss makasih ya ruang guru
4260,"Dulu aku kalo di kelas bisa dibilang paling bodoh, ga ada motivasi buat belajar, tapi suka ngibul pengen masuk univ bagus. Alhasil diremehin banyak orang. Terus aku mikir, keknya emang bener aku banyak mimpi ga ada usaha. ehh download ruang guru, langganan, dan yaa bisa paham materi sedikit².. dan ga mikir susah lagi.. tapi memang semua butuh usaha.. dan ini usahaku melalui ruang guru.. Terimakasih banyak ruang guru.. berkatmu aku makin paham.. semoga aku bisa masuk psikologi Unpad. aamiin"
4261,"Ruangguru sangat membantu dalam proses belajar, materinya bagus dan tersusun dengan rapi, dan memiliki latihan soal yg berlimpah juga. Namun saya kurang suka dengan User Interfacenya walaupun sebenarnya bagus, mungkin di waktu mendatang kita bisa mengatur tema ruang guru sesuka kita sehingga lebih menarik. Lalu ketika di materi juga pada saat mode landscape, kita tidak bisa merotate layar ke arah sebaliknya, padahal saya cukup perlu karena terkadang sambil meng-charge."
4262,"Sangat2 membantu gua mengerjakan tugas yg di berikan guru dan peringkat gua udah mulai naik, dulu saya peringkat 3 semenjak saya pake ruang guru peringkat gua udah naik ke2 Terima kasih banyak 😘😘"
4263,"Dari semua fitur dari aplikasi ini yang paling keren sih tetep ruang belajar. Video yang singkat dengan animasi (biar ga kepanjangan dan bikin bosen kan), terus setelah video selesai bakal dapet gold. Selain itu setelah selesai juga bakal ada kuis per materi. Kebanyang kerennya ga tuh. Pokoknya ruangguru the best."
4264,"respon ya kaa,,,,,ka mau tanya nihh.. saya baru permula kebetulan tadi liat di tv lagi ada ruang guru,,nah aku jadi termotivasi buat belajar diruang guru,trus aku coba instal app ruang guru trus masuk,pas saya masuk kan ada pilihan kelas,kebetulan saya kelas 10 SMK,jurusannya ngga ada disitu ,disitu kan cuma kelas 10 IPA sama IPS,nahh bingung nih kaa,,,soalnya saya bukan kelas X IPA atupun IPS tapi saya X PERBANKAN ,,gimana nih kaa,,,"
4265,"Terimakasih ruang guru telah membantu saya selama ini,tapi sekarang saya sudh sadar bahwa pornhub lebih lengkap pelajaran IPA nya.Alhasil saya beralih ke Website tersebut."
4266,Assalamualaikum kenalin nama saya indah.aplikasi ini sangat bagus kemarin nilai aku 60 terus aku pakai aplikasi ruang guru jadi nilai aku 90 terima kasih ruang guru aku kasih bintang lima buat ruang guru🤗🤗
4267,Wow.. Aplikasi yang menarik.. Dapat mempelajari materi pendidikan dengan bagus dan mudah dimengerti 👍
4268,"Ruang guru sangat membantu saya dalam menyelesaikan tugas dirumah. Terimakasih banyak untuk ruang guru karna telah membimbing saya menjadi siswa yg lebih baik lagi dalam belajar. Dan pesan saya buat anak anak bangsa yg lainnya kalo belum berlanggangan diruang guru buruan deh cpt cpt gabung biar ikut bisa merasakan juga pengalamannya , mulai dari materi pembelajarannya sampe ke pengalamannya. Pokoknya aku kasih tau aja nih ke kalian yg blm gabung. "" blj di ruang guru itu seru banget ""."
4269,"SUKA BANGET SAMA APLIKASI INI!!! Semenjak aku berlangganan di ruangguru, nilai ulangan dan rapotku naik. Biasanya setiap mau ulangan, aku sama temenku nonton video bareng, terus jawab soal bareng juga. Pokoknya kebantu banger deh! Terima kasih Ruangguru!!!"
4270,"Aplikasi yg sangat membantu dalam memperdalam materi pelajaran sekolah, cuman mata pelajaran SMK jurusan TKJ nya kurang banyak jdi saran saya mata pelajarannya lebih diperbanyak"
4271,"Bagus bgt ruang guru!!!!!!!!!! Suka bgt, ya Allah mksh, semoga pelayanan ruang guru tetap bagus dan ramah y, suka bgttttt"
4272,Ruang guru sangat membantu saya dalam belajar. Mau dapat diskon?pakai aja kode ini saat mau berlangganan ruangguru DISKONHEBATNAU selamat mencoba!
4273,"Ruang Guru solusi Terbaik untuk saya. Lulus di Kampus Terbaik di Makassar dengan jurusan yang saya impikan akhirnya terwujud. dulu saya pesimis untuk bisa lulus di jurusan ilmu komunikasi yang berAkreditasi A. tapi saya terus berusaha. dan Akhirnya Allah memberikan jawaban dari kegalauan saya yaitu : ""RUANG GURU"" di aplikasi ini saya bisa belajar dimana saja, melatih diri menjawab soal, bertanya langsung dengan tutor dan punya banyak teman. dan Akhirnya saya Lulus :). Terimakasih Ruang Guru."
4274,"Ruang guru telah membantu saya memudahkan semua mata pelajaran ,jadi sebelum saya kesekolah saya udah tau jawabannya sebalu dijelaskan sama pak guru,hari ini ,hari terakhir saya ( UTS) mtk saya harap dapat nilai yg tinggi. Kalau kamari mata pelajaran IPA,bahasa Indonesia,sama ips,dan yg lain lainnya dapat nilai 90-95 saya sangat senang mendapatinya nilai di atas 80 . Terimakasih ruang guru"
4275,"Halo perkenalkan nama saya Dewi. Saya pengguna Ruang Guru. Aplikasi Ruang Guru ini membantu saya dalam proses belajar saya. Saya juga sangat terbantu dengan adanya ruang guru ini. Tapi cuma satu saran saya, saat saya ingin liat timeline ruang guru kadang eror mohon diperbaiki ya. Tapi Ruang Guru membantu sekali. Terimakasih Ruang Guru 😊😊😊"
4276,"Memuaskan, selama home learning, dari sekolah saya hanya di berikan tugas saja, tanpa di beri penjelasan (di jelasin) terlebih dahulu, jadi saya kurang faham, saya bisa belajar lewat aqlikasi ini, untuk home learning sampai sudah kembali masuk sekolah🙂"
4277,Setelah install nih apk ruang guru saya jadi dpt ranking 2 !!!klo kemarin ranking 9...jadi harus usaha belajar giat lagi biar ranking 1!!!!!MasukkanEVINZIYFA atau KEVINXMHLGTX buruan masukkan kode referral nya dan dapatkan diskon 40% untuk berlangganan😍😍 biar pintar kayak aku!!mau kan
4278,"Assalamu'alaikum.. Alhamdulillah, saya suka sekali dengan apk Ruangguru. Karena penjelasan dalam video dibuat sangat ringkas, jadi mudah untuk dipahami. Rangkuman dalam ruangbelajar juga sangat membantu saya dalam memahami pelajaran. Terimakasih Ruangguru😍😍. AYO SEGERA BERLANGGANAN!!!!"
4279,"Aplikasinya sangat bagus, bisa dibuka dengan sinyal GSM (Geser Sedikit Mati). Di tambah lagi Roboguru hadir di Whatsapp. Tambah sukaaah rasanya"
4280,"MasyaAllah, perkenalkan nama saya Mutia, saya sangat senang sekali bisa begabung di Ruangguru bimbel online apalagi di masa pandemi ini. Guru"" di sekolah ketika memberikan pembelajaran itu biasanya tidak di jelaskan tetapi setelah saya gabung diruangguru alhamdulillah untuk penjelasan lebih lengkapnya saya bisa dapatkan di ruangguru. Buat ruangguru sukses selalu, dan semoga kedepannya tetap jaya dan terus maju demi anak-anak Negeri. 🙏👍😊"
4281,"pembahasannya mudah dimengerti, dan banyak soal2 yg bisa kita kerjakan terimakasih Ruangguru"
4282,"Waktu saya liat Antony S Ginting menjadi salah 1 squad ruangguru,saya lgsung download aplikasi ini,dan mendaftarkan anak sy yg kelas 8,anak sy selalu langganan rangking 2 or 3 dr belakang (42 dr45 murid), Tapi desember kemaren waktu terima rapot,saya surprise sekali ,anak saya rangking 15,,,matematika yg biasa 5,sekarang 81, IPA 86, IPS 96,,,,,biasanya semua nilai nya ngak jauh dr 5,6,7,Terima kasih buat Ginting yg sudah menjadi racun positif buat saya 😍😍😍😍"
4283,"Awalnya ragu, karena aku pikir kalau belajar video kayak gini tuh ribet. Tapi aku coba coba, dan ternyata gak salah. Untung ajh aku coba kalau gak kan malah nyesel. Nilai nilai aku juga meningkat. Terus aku kasih tau temen temen buat berlangganan di ruang guru. Dan setelah mereka berlangganan, hasilnya pun sama. Tidak mengecewakan. Jadi dikelas aku jadi banyak deh orang pinter. Intinya kita jadi saingan deh dalam belajar 😂😂"
4284,"wahh ini sih bermanfaat banget, apalagi kan saya masih kelas 10 ,penting banget nih.....pake aplikasinya di kelas 10 ini saya ambil jurusan IPA dan saya sudah belajar beberapa materi jadi ada bekal dan tidak ada alasan untuk tidak bisa...semua bisa kok asal ada niat,doa,usaha,dukungan orang tua,dan ruang guru, terimakasih RG love youuu"
4285,"Aplikasi ini sangat cocok di pakai oleh pelajar.. Selain cara mengajarny yg lngsung di mngerti.. Di aplikasi ini juga, di lengkapi dengan soal2, catatan ruang guru squad, robo guru, ruang baca, dll.. Yg dapat membantu kita untuk lebih Memperdalam materi.. Pokoknya hrus di download yh, dan ayo.. Langganan sekarang☺"
4286,"Minta no wa,nya ya.... Hyy juga perkenalkan nama saya Robil atau biasa juga di panggil abel ets gua laki² salam kenal ya kak:),tapi yg balas ni siapa.......?........+.""-(.!$.#/@.*.¥>€.¢.£.`~.|.•.√.÷.×.×..∆£.°......"
4287,"Aplikasinya sangat membantu, apalagi saat daring, yang kebanyakan siswa ngga' paham belajarx. Ditambah lagi untuk siswa yang baru adaptasi dengan sekolah barux, seperti aku😁. Makasih kak. Semoga kedepannya, ruangguru bisa lebih berkembang lagi😊."
4288,"Seru banget belajar di ruang guru. Membantu banget, ada rangkumannya juga. Mantap deh👍"
